# file...... time_results/line_out_B_pv/switch_power_loss.csv
# date...... Sun Dec 10 19:41:19 2017
# user...... ericlinxie
# host...... (null)
# group..... class=switch
# property.. current_out_B
# limit..... 0
# interval.. 0
# timestamp,switch_671-692
2000-08-02 00:00:00 HDT,+39.6619-57.1287j
2000-08-02 01:00:00 HDT,+39.6619-57.1287j
2000-08-02 02:00:00 HDT,+39.6619-57.1287j
2000-08-02 03:00:00 HDT,+39.6619-57.1287j
2000-08-02 04:00:00 HDT,+39.6619-57.1287j
2000-08-02 05:00:00 HDT,+39.6619-57.1287j
2000-08-02 06:00:00 HDT,+40.3773-56.7634j
2000-08-02 07:00:00 HDT,+42.5327-55.627j
2000-08-02 08:00:00 HDT,+43.5844-54.9288j
2000-08-02 09:00:00 HDT,+46.348-53.2151j
2000-08-02 10:00:00 HDT,+48.83-51.2047j
2000-08-02 11:00:00 HDT,+48.7811-50.5485j
2000-08-02 12:00:00 HDT,+54.6827-46.034j
2000-08-02 13:00:00 HDT,+73.1818-46.6715j
2000-08-02 14:00:00 HDT,+30.1186-57.5573j
2000-08-02 15:00:00 HDT,+84.2222-53.0405j
2000-08-02 16:00:00 HDT,+33.2288-57.0473j
2000-08-02 17:00:00 HDT,+67.4932-55.2627j
2000-08-02 18:00:00 HDT,+38.6439-57.1949j
2000-08-02 19:00:00 HDT,+39.6619-57.1287j
2000-08-02 20:00:00 HDT,+39.6619-57.1287j
2000-08-02 21:00:00 HDT,+39.6619-57.1287j
2000-08-02 22:00:00 HDT,+39.6619-57.1287j
2000-08-02 23:00:00 HDT,+39.6619-57.1287j
2000-08-03 00:00:00 HDT,+39.6619-57.1287j
